y,x
+6.6400E-03,-482.4749E-03
+6.6500E-03,-482.4749E-03
+6.6600E-03,-474.4347E-03
+6.6700E-03,-477.1985E-03
+6.6800E-03,-479.2085E-03
+6.6900E-03,-482.4749E-03
+6.7000E-03,-475.1884E-03
+6.7100E-03,-479.7111E-03
+6.7200E-03,-482.4749E-03
+6.7300E-03,-482.4749E-03
+6.7400E-03,-489.7613E-03
+6.7500E-03,-474.4347E-03
+6.7600E-03,-482.4749E-03
+6.7700E-03,-489.2588E-03
+6.7800E-03,-482.4749E-03
+6.7900E-03,-474.4347E-03
+6.8000E-03,-487.2487E-03
+6.8100E-03,-482.4749E-03
+6.8200E-03,-475.9422E-03
+6.8300E-03,-485.2387E-03
+6.8400E-03,-487.2487E-03
+6.8500E-03,-482.4749E-03
+6.8600E-03,-482.4749E-03
+6.8700E-03,-482.4749E-03
+6.8800E-03,-482.4749E-03
+6.8900E-03,-482.4749E-03
+6.9000E-03,-483.2286E-03
+6.9100E-03,-482.4749E-03
+6.9200E-03,-482.4749E-03
+6.9300E-03,-482.4749E-03
+6.9400E-03,-482.4749E-03
+6.9500E-03,-488.0025E-03
+6.9600E-03,-490.5151E-03
+6.9700E-03,-490.5151E-03
+6.9800E-03,-489.7613E-03
+6.9900E-03,-484.9874E-03
+7.0000E-03,-487.2487E-03
+7.0100E-03,-489.2588E-03
+7.0200E-03,-490.5151E-03
+7.0300E-03,-493.2789E-03
+7.0400E-03,-487.2487E-03
+7.0500E-03,-497.2990E-03
+7.0600E-03,-489.7613E-03
+7.0700E-03,-485.2387E-03
+7.0800E-03,-490.5151E-03
+7.0900E-03,-489.2588E-03
+7.1000E-03,-483.2286E-03
+7.1100E-03,-490.5151E-03
+7.1200E-03,-485.7412E-03
+7.1300E-03,-490.5151E-03
+7.1400E-03,-483.2286E-03
+7.1500E-03,-490.5151E-03
+7.1600E-03,-490.5151E-03
+7.1700E-03,-490.5151E-03
+7.1800E-03,-490.5151E-03
+7.1900E-03,-490.5151E-03
+7.2000E-03,-490.5151E-03
+7.2100E-03,-490.5151E-03
+7.2200E-03,-482.4749E-03
+7.2300E-03,-490.5151E-03
+7.2400E-03,-493.7814E-03
+7.2500E-03,-491.7714E-03
+7.2600E-03,-489.7613E-03
+7.2700E-03,-490.5151E-03
+7.2800E-03,-490.5151E-03
+7.2900E-03,-490.5151E-03
+7.3000E-03,-490.5151E-03
+7.3100E-03,-490.5151E-03
+7.3200E-03,-485.7412E-03
+7.3300E-03,-498.5553E-03
+7.3400E-03,-490.5151E-03
+7.3500E-03,-490.5151E-03
+7.3600E-03,-490.5151E-03
+7.3700E-03,-489.2588E-03
+7.3800E-03,-490.5151E-03
+7.3900E-03,-495.7915E-03
+7.4000E-03,-490.5151E-03
+7.4100E-03,-484.9874E-03
+7.4200E-03,-489.7613E-03
+7.4300E-03,-490.5151E-03
+7.4400E-03,-490.5151E-03
+7.4500E-03,-490.5151E-03
+7.4600E-03,-497.8015E-03
+7.4700E-03,-493.2789E-03
+7.4800E-03,-485.7412E-03
+7.4900E-03,-490.5151E-03
